,Comp,File,Line,Spkr,StTime,Content,EnTime,inv
24.86,DCA,DCA_se2_ag1_m_03_1,68,DCA_se2_ag1_m_03,75.6602,There be about,76.1964,1
32.102,DCA,DCA_se2_ag1_m_03_1,101,DCA_se2_ag1_m_03,107.8226,And you be running up as fast as you can to get,109.6924,1
34.1121,DCA,DCA_se2_ag1_m_03_1,113,DCA_se2_ag1_m_03,123.9586,"Well, it be about five people,",125.6175,1
78.1116,DCA,DCA_se2_ag1_m_03_1,247,DCA_se2_ag1_m_03,267.1706,all the marbles be in the center.,268.5228,1
330.155,DCA,DCA_se2_ag1_m_03_1,1273,DCA_se2_ag1_m_03,1384.3389,"Christmas? Everybody be happy and celebrate,",1386.7636,1
148.223,DCA,DCA_se2_ag1_m_04_1,663,DCA_se2_ag1_m_04,614.5325,"Like I be playing,",615.6656,1
194.313,DCA,DCA_se2_ag1_m_04_1,928,DCA_se2_ag1_m_04,894.1323,and hang with the boys that be with us.,895.8357,1
20611,DCA,DCA_se2_ag1_m_04_1,971,DCA_se2_ag1_m_04,942.6545,I probably be a mail carrier.,944.0394,1
213.37,DCA,DCA_se2_ag1_m_04_1,994,DCA_int_02,971.5447,How about this summer? What do you- What will you be doing this summer? Will you be working then? You're in twelvth grade? Is that [right?],976.7008,1
219.319,DCA,DCA_se2_ag1_m_05_1,878,DCA_se2_ag1_m_05,1014.0604,everybody would b- be running around the block and,1016.5348,1
366.151,DCA,DCA_se2_ag1_m_05_1,1347,DCA_se2_ag1_m_05,1616.9684,be in a daze or b- be day dreaming,1618.929,1
418.111,DCA,DCA_se2_ag1_m_05_1,1573,DCA_se2_ag1_m_05,1898.5245,Yeah that's right it helps you /??/ and I used to always be swinging I used to give uh,1902.4255,1
445.73,DCA,DCA_se2_ag1_m_05_1,1663,DCA_se2_ag1_m_05,2010.4241,drastic kid I used to always be into something.,2012.6546,1
124.134,DCA,DCA_se2_ag2_m_01_1,395,DCA_se2_ag2_m_01,411.7154,"of uh, The Good, Bad and Ugly, it was- be bad. But the character they had in there, I guess he was- It was a new- tryna put a new character in it.",417.4598,1
286.64,DCA,DCA_se2_ag2_m_01_1,1002,DCA_se2_ag2_m_01,1142.8587,"nobody else would have none, so what it be worth- you know.",1144.7378,1
390.411,DCA,DCA_se2_ag2_m_02_1,1087,DCA_se2_ag2_m_02,1257.529,and it be boring as I don't know what.,1258.6854,1
668.11,DCA,DCA_se2_ag2_m_02_1,2098,DCA_se2_ag2_m_02,2468.9707,"how happy they be when I do these, make me feel very good.",2471.0037,1
12.817,DCA,DCA_se2_ag2_m_03_1,43,DCA_se2_ag2_m_03,55.1439,"some be the good guys and the bad guys, you kn-",57.1233,1
44.326,DCA,DCA_se2_ag2_m_03_1,151,DCA_se2_ag2_m_03,189.6307,you be playing around the girls. I-,191.3242,1
34.718,DCA,DCA_se2_ag3_m_01_1,135,DCA_se2_ag3_m_01,130.3052,"One be on the one side, and one be on the other side, and we just try to get the ball-",133.3278,1
298.87,DCA,DCA_se2_ag3_m_01_1,1334,DCA_se2_ag3_m_01,1363.3873,her hair be all tangled up.,1364.5943,1
532.113,DCA,DCA_se2_ag3_m_01_1,2200,DCA_se2_ag3_m_01,2285.458,"Why just be uh, at one place,",2287.3589,1
534.311,DCA,DCA_se2_ag3_m_01_1,2206,DCA_se2_ag3_m_01,2293.3589,Then we be able to travel everywhere we want to go.,2295.2806,1
210.144,DCA,DCA_se2_ag3_m_02_1,952,DCA_se2_ag3_m_02,1129.5943,"everybody be in the room in an uproar. You know how you [first come] to class and the teacher's not in there, you [know.]",1133.8827,1
228.231,DCA,DCA_se2_ag3_m_02_1,1043,DCA_se2_ag3_m_02,1236.6701,like he be fighting Joe [Louis- <laugh>],1238.7125,1
299.55,DCA,DCA_se2_ag3_m_02_1,1255,DCA_int_01,1506.451,Would he be out?,1507.2109,1
374.19,DCA,DCA_se2_ag3_m_02_1,1550,DCA_se2_ag3_m_02,1845.8036,"everybody be so choked up over the gifts and everything, they won't be too hungry anyway.",1849.3675,1
98.233,DCA,DCA_se2_ag3_m_03_1,325,DCA_se2_ag3_m_03,317.2851,"during the Winter, be Paul Casanova the best all around athlete.",319.736,1
325.5,DCA,DCA_se2_ag3_m_03_1,1138,DCA_int_01,1176.6035,Or would it be the same one?,1177.8321,1
232.1212,DCA,DCA_se2_ag4_f_01_1,620,DCA_se2_ag4_f_01,951.3029,birthday be set aside for holiday.,953.8151,1
118.113,DCA,DCA_se2_ag4_m_01_1,404,DCA_se2_ag4_m_01,598.7679,whether you be a-,600.0317,1
14.98,DCA,DCA_se3_ag1_f_01_1,66,DCA_se3_ag1_f_01,78.3661,The last person be it.,79.7825,1
291.39,DCA,DCA_se3_ag1_f_01_1,1133,DCA_int_03,1313.2944,How do you be kind to others?,1314.8973,1
292.714,DCA,DCA_se3_ag1_f_01_1,1142,DCA_se3_ag1_f_01,1335.35,you have to let them be first.,1337.0706,1
33411,DCA,DCA_se3_ag1_f_01_1,1342,DCA_se3_ag1_f_01,1588.2079,"Like if a person be nice to you, you should always be nice back to [them.]",1591.5361,1
6.533,DCA,DCA_se3_ag1_f_02_1,20,DCA_se3_ag1_f_02,22.4043,"we have a um, one be the mother",24.5679,1
212.714,DCA,DCA_se3_ag1_f_02_1,734,DCA_se3_ag1_f_02,810.121,they was gonna let that girl name /RD-NAME-2/ be the leader but,812.9607,1
26217,DCA,DCA_se3_ag1_f_02_1,892,DCA_se3_ag1_f_02,1007.2537,"Because they- See, when Christmas come they won't s- be surprised because they seen mostly all of it.",1012.6055,1
268.127,DCA,DCA_se3_ag1_f_02_1,904,DCA_se3_ag1_f_02,1024.7501,and we be in bed,1025.9438,1
36.724,DCA,DCA_se3_ag1_f_03_1,160,DCA_se3_ag1_f_03,175.9897,"They be saying um,",177.1181,1
72.189,DCA,DCA_se3_ag1_f_03_1,259,DCA_se3_ag1_f_03,293.1185,"And when I be doing my work, she'll say I wasn't doing it.",295.8265,1
52.429,DCA,DCA_se3_ag1_f_04_1,228,DCA_se3_ag1_f_04,217.4228,"That be when the person counted to ten real fast, say one two three four red light and turn around,",221.4046,1
238.423,DCA,DCA_se3_ag1_f_04_1,828,DCA_se3_ag1_f_04,897.0547,You be a leader not a follower.,898.6315,1
282.615,DCA,DCA_se3_ag1_f_04_1,1000,DCA_se3_ag1_f_04,1101.5558,We be running around.,1102.6658,1
367.38,DCA,DCA_se3_ag1_f_04_1,1343,DCA_int_03,1492.0883,You go be /inaudible/?,1494.2029,1
278.331,DCA,DCA_se3_ag1_m_02_1,2345,DCA_se3_ag1_m_02,2512.0238,the only way I think anybody really be recognized,2514.3894,1
177.73,DCA,DCA_se3_ag1_m_03_1,1541,DCA_int_01,1931.8217,/?/ be outside.,1932.7945,1
172.425,DCA,DCA_se3_ag1_m_05_1,647,DCA_se3_ag1_m_05,718.5563,"that's be the only time we studying and we study mostly math you know,",721.5273,1
174.3121,DCA,DCA_se3_ag1_m_06_1,909,DCA_se3_ag1_m_06,957.8969,"I don't know, sometimes it's necessa- sometime he be kind of angry.",960.6557,1
17621,DCA,DCA_se3_ag1_m_06_1,913,DCA_se3_ag1_m_06,963.1135,"He be kind of angry, you [know.]",964.2252,1
194.711,DCA,DCA_se3_ag1_m_06_1,1025,DCA_se3_ag1_m_06,1091.6884,/There be uh/ two of 'em go to school here,1093.3046,1
22.34,DCA,DCA_se3_ag2_m_02_1,251,DCA_se3_ag2_m_02,294.0668,"Jack be nimble, Jack be quick,",295.6808,1
165.75,DCA,DCA_se3_ag2_m_03_1,652,DCA_int_05,824.0011,there be anything in your life that you'd like to change?,826.3502,1
33.144,DCA,DCA_se3_ag4_m_01_2,565,DCA_se3_ag4_m_01,725.4227,"I- /cause/ I was be c- uh be careful about that. I was always careful about that, you see.",728.9724,1
72.1107,DCB,DCB_se1_ag1_f_01_1,175,DCB_se1_ag1_f_01,218.4058,"I be talking to my mother,",219.5267,1
72.349,DCB,DCB_se1_ag1_f_01_1,177,DCB_se1_ag1_f_01,219.8606,but she be getting on my nerves sometimes you know.,221.6465,1
76.728,DCB,DCB_se1_ag1_f_01_1,190,DCB_se1_ag1_f_01,236.4431,in different activities that we be having.,238.1544,1
200.144,DCB,DCB_se1_ag1_f_01_1,502,DCB_se1_ag1_f_01,616.9431,"[Yeah], sometimes they be like,",618.532,1
33816,DCB,DCB_se1_ag1_f_01_1,824,DCB_se1_ag1_f_01,1005.9686,"Yeah, it just be getting irritating.",1007.6845,1
388.413,DCB,DCB_se1_ag1_f_01_1,963,DCB_se1_ag1_f_01,1165.1801,"It's just, sometimes it be a little quiet,",1167.9872,1
388.613,DCB,DCB_se1_ag1_f_01_1,965,DCB_se1_ag1_f_01,1168.4535,"like the street be quiet, but other times, I don't know what be going on.",1171.8516,1
388.89,DCB,DCB_se1_ag1_f_01_1,967,DCB_se1_ag1_f_01,1172.635,"And then really /my mother/ be like,",1173.9872,1
388.12,DCB,DCB_se1_ag1_f_01_1,971,DCB_se1_ag1_f_01,1176.6766,"Cause I like walking, so I be walking around Kenilworth. Like, ain't nobody gonna do nothing to me.",1180.2241,1
442.46,DCB,DCB_se1_ag1_f_01_1,1123,DCB_se1_ag1_f_01,1356.6306,I'm'a be a teacher.,1357.5998,1
526.116,DCB,DCB_se1_ag1_f_01_1,1314,DCB_se1_ag1_f_01,1591.9363,"[Like, you know- Not] white people, but it be like other",1594.8553,1
526.84,DCB,DCB_se1_ag1_f_01_1,1321,DCB_se1_ag1_f_01,1601.9173,They be thinking you about to steal.,1603.2089,1
536.7,DCB,DCB_se1_ag1_f_01_1,1351,DCB_se1_ag1_f_01,1643.6981,it be like Chipotle or something.,1645.4048,1
538.212,DCB,DCB_se1_ag1_f_01_1,1364,DCB_se1_ag1_f_01,1655.8147,they be getting mad.,1656.7799,1
66310,DCB,DCB_se1_ag1_f_01_1,1663,DCB_int_01,2053.3054,"Right, it don't- be like, oh, [it's just a] dollar, but really you getting like [one bite]",2056.8213,1
674.2,DCB,DCB_se1_ag1_f_01_1,1684,DCB_se1_ag1_f_01,2080.6534,I be getting a- a Jack Daniel's sampler.,2082.7832,1
682,DCB,DCB_se1_ag1_f_01_1,1703,DCB_se1_ag1_f_01,2096.7743,And the fries! I be dipping my fries in there.,2098.8539,1
53.52,DCB,DCB_se1_ag1_f_02_1,124,DCB_se1_ag1_m_04,149.2308,and s- they also be trying to rob you s- if they see you with a fresh pair of shoes or something like that.,153.8617,1
231.323,DCB,DCB_se1_ag1_f_02_1,723,DCB_se1_ag1_m_04,965.6434,"/RD-NAME-2/, Mom and /RD-NAME-2/ be the only one who go because they got the money to",970.4136,1
268.1117,DCB,DCB_se1_ag1_f_02_1,856,DCB_se1_ag1_f_02,1138.789,and I just watched my back and see if nobody be around me.,1142.038,1
444.22,DCB,DCB_se1_ag1_f_02_1,1669,DCB_se1_ag3_m_01,2170.5631,why should somebody be a Wizards fan?,2171.966,1
450.36,DCB,DCB_se1_ag1_f_02_1,1686,DCB_se1_ag3_m_01,2198.6195,"Kevin Durant, what do you know- what- how would that be if he came here, if he actually came here?",2202.3981,1
24224,DCB,DCB_se1_ag1_f_03_1,843,DCB_se1_ag1_f_03,1125.0022,I feel like I'm'a be nervous.,1126.1609,1
