RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,white,eductation,10,male,1999-04-10,00:07:39.850,Mr. SMITH:  We knew there was something else there.
0,white,eductation,10,male,1999-04-10,00:07:41.390,But I think probably when he f--learned to read so young
0,white,eductation,10,male,1999-04-10,00:07:44.150,"and he went through a reading program, teaching reading"
0,white,eductation,10,male,1999-04-10,00:07:54.030,"Mr. SMITH:  Yeah, I think so."
0,white,eductation,10,male,1999-04-10,00:07:57.140,"and by three and four, he was reading children's classics,"
0,white,eductation,10,male,1999-04-10,00:07:59.870,"such as ""Journey to the Center of the Earth"""
0,white,eductation,10,male,1999-04-10,00:07:59.870,"such as ""Journey to the Center of the Earth"""
0,white,eductation,10,male,1999-04-10,00:08:01.540,"and ""The Last Mohicans"" and ""Around the World in Eighty Days.”"
0,white,eductation,10,male,1999-04-10,00:08:05.510,WINFREY:  Was there something you did or didn't
0,white,eductation,10,male,1999-04-10,00:08:07.820,"do that caused this, do you think?"
0,white,eductation,10,male,1999-04-10,00:08:07.820,"do that caused this, do you think?"
0,white,eductation,10,male,1999-04-10,00:08:07.820,"do that caused this, do you think?"
0,white,eductation,10,male,1999-04-10,00:08:09.950,Mrs. SMITH:  I think that we have an environment
0,white,eductation,10,male,1999-04-10,00:08:09.950,Mrs. SMITH:  I think that we have an environment
0,white,eductation,10,male,1999-04-10,00:08:22.300,We'd make the story characters come alive.
0,white,eductation,10,male,1999-04-10,00:08:28.730,"quickly associate with those words, and before long,"
0,white,eductation,10,male,1999-04-10,00:08:32.210,he knew what they meant.
0,white,eductation,10,male,1999-04-10,00:08:35.910,and open to a page and start saying what was on that
0,white,eductation,10,male,1999-04-10,00:08:43.820,"recite it back to us, so we knew that he had extraordinary"
0,white,eductation,10,male,1999-04-10,00:08:50.630,WINFREY:  And then is there the issue of how you then
0,white,eductation,10,male,1999-04-10,00:08:50.630,WINFREY:  And then is there the issue of how you then
0,white,eductation,10,male,1999-04-10,00:08:50.630,WINFREY:  And then is there the issue of how you then
0,white,eductation,10,male,1999-04-10,00:08:50.630,WINFREY:  And then is there the issue of how you then
0,white,eductation,10,male,1999-04-10,00:08:52.420,handle this?
0,white,eductation,10,male,1999-04-10,00:08:57.370,a constant concern.  Are we making the right choices?
0,white,eductation,10,male,1999-04-10,00:09:00.030,Are we doing the right things as a parent to--to make
0,white,eductation,10,male,1999-04-10,00:09:00.030,Are we doing the right things as a parent to--to make
0,white,eductation,10,male,1999-04-10,00:09:07.570,"the college decision?  Obviously, he had the--the mind,"
0,white,eductation,10,male,1999-04-10,00:09:07.570,"the college decision?  Obviously, he had the--the mind,"
0,white,eductation,10,male,1999-04-10,00:09:10.970,the intellectual ability to…
0,white,eductation,10,male,1999-04-10,00:09:11.980,"Mr. SMITH:  That was a major--a--as late as probably April,"
0,white,eductation,10,male,1999-04-10,00:09:14.950,we weren't certain that he'd be able to go to
0,white,eductation,10,male,1999-04-10,00:09:16.750,college because we could not find the appropriate environment.
0,white,eductation,10,male,1999-04-10,00:09:26.050,And we needed that for a 10-year-old with special
0,white,eductation,10,male,1999-04-10,00:09:40.600,"of parents that we're talking to, about the"
0,white,eductation,10,male,1999-04-10,00:09:40.600,"of parents that we're talking to, about the"
0,white,eductation,10,male,1999-04-10,00:09:45.450,"and as one of the students said, you know, kids in college"
0,white,eductation,10,male,1999-04-10,00:09:49.370,talking about things that might be inappropriate
0,white,eductation,10,male,1999-04-10,00:09:49.370,talking about things that might be inappropriate
0,white,eductation,10,male,1999-04-10,00:09:52.980,Mr. SMITH:  Sure.  And he knows more than the average
0,white,eductation,10,male,1999-04-10,00:09:52.980,Mr. SMITH:  Sure.  And he knows more than the average
0,white,eductation,10,male,1999-04-10,00:09:54.820,10-year-old about areas that we perhaps would not expose him
0,white,eductation,10,male,1999-04-10,00:09:58.510,"to at this point but, luckily, he has more wisdom than"
